name,code,type,barcode,pack_label,units_per_strip,description,chemical_composition,general_recommendation,where_to_use
Amoxicillin 500 Mg,AMOX-500,Capsule,8901000000002,1*15,15,"This product is primarily indicated for bacterial infections (rx) utilizing Amoxicillin trihydrate (recommended: complete course), but should not be used in patients with known hypersensitivity.",Amoxicillin trihydrate,Complete course,Bacterial infections (Rx)
Atorvastatin 10 Mg,ATO-10,Tab,8901000000011,1*10,10,"This product is primarily indicated for cholesterol (rx) utilizing Atorvastatin (recommended: evening), but should not be used in patients with known hypersensitivity.",Atorvastatin,Evening,Cholesterol (Rx)
Azithromycin 500 Mg,AZI-500,Tab,8901000000005,1*3,3,"This product is primarily indicated for infection (rx) utilizing Azithromycin, but should not be used in patients with known hypersensitivity.",Azithromycin,,Infection (Rx)
Calcium + Vitamin D3 Tablet,CAL-D3,Tab,8901000000017,1*15,15,"This product is primarily indicated for bone health utilizing Calcium carbonate + D3 (recommended: after dinner), but should not be used in patients with known hypersensitivity.",Calcium carbonate + D3,After dinner,Bone health
Nutrolin-B Plus,EU0225006,Capsule,,,15,"This product is primarily indicated for diarrhea/gut health utilizing Lactic acid bacillus + Vitamins, but should not be used in patients with known hypersensitivity.",Lactic acid bacillus + Vitamins,,Diarrhea/Gut health
Gutbliss[Pre And Probiotic],ABK17ADA,Capsule,,,10,"This product is primarily indicated for gut health utilizing Prebiotic + Probiotic, but should not be used in patients with known hypersensitivity.",Prebiotic + Probiotic,,Gut health
Allme,ARCD09-003,Capsule,,,9,"This product is primarily indicated for nutritional deficiency utilizing Multivitamins + Minerals (recommended: once daily), but should not be used in patients with known hypersensitivity.",Multivitamins + Minerals,Once daily,Nutritional deficiency
Ed Vision,ADA-25010,Capsule,,,10,"This product is primarily indicated for eye health utilizing Antioxidants + Vitamins (recommended: once daily), but should not be used in patients with known hypersensitivity.",Antioxidants + Vitamins,Once daily,Eye health
Esmobar Dsr,BHB241010A,Capsule,,,10,"This product is primarily indicated for gerd/acidity utilizing Esomeprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Esomeprazole + Domperidone,Before breakfast,GERD/Acidity
Esocube-Dsr,CCC24300A,Capsule,,,9,"This product is primarily indicated for gerd/acidity utilizing Esomeprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Esomeprazole + Domperidone,Before breakfast,GERD/Acidity
Pantocid Dsr,GTG2427A,Capsule,,,14,"This product is primarily indicated for gerd/acidity utilizing Pantoprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Pantoprazole + Domperidone,Before breakfast,GERD/Acidity
Rabiray-Dsr,SCPC-2273,Capsule,,,9,"This product is primarily indicated for gerd/acidity utilizing Rabeprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Rabeprazole + Domperidone,Before breakfast,GERD/Acidity
Skurab-D,CPC-260001F,Capsule,,,10,"This product is primarily indicated for gerd/acidity utilizing Rabeprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Rabeprazole + Domperidone,Before breakfast,GERD/Acidity
Evion -400 Mg,5015C59911,Capsule,,,20,"This product is primarily indicated for vitamin e deficiency utilizing Vitamin E 400mg (recommended: once daily), but should not be used in patients with known hypersensitivity.",Vitamin E 400mg,Once daily,Vitamin E deficiency
Addyzoa,CADO938,Capsule,,,20,"This product is primarily indicated for male infertility utilizing Ayurvedic proprietary medicine (recommended: twice daily), but should not be used in patients with known hypersensitivity.",Ayurvedic proprietary medicine,Twice daily,Male infertility
Uprise-D3 60K,25510658,Capsule,,,11,"This product is primarily indicated for vitamin d deficiency utilizing Cholecalciferol 60000 IU (recommended: once a week), but should not be used in patients with known hypersensitivity.",Cholecalciferol 60000 IU,Once a week,Vitamin D deficiency
Pan-D,25444178,Capsule,,,15,"This product is primarily indicated for gerd/acidity utilizing Pantoprazole + Domperidone (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Pantoprazole + Domperidone,Before breakfast,GERD/Acidity
Cetirizine 10 Mg,CET-10,Tab,8901000000006,1*10,10,"This product is primarily indicated for allergic rhinitis utilizing Cetirizine, but should not be used in patients with known hypersensitivity.",Cetirizine,,Allergic rhinitis
Cough Expectorant 100 Ml,COUGH-SYR,Syrup,8901000000015,1 bottle,1,"This product is primarily indicated for productive cough utilizing Ambroxol + Guaifenesin (recommended: thrice daily), but should not be used in patients with known hypersensitivity.",Ambroxol + Guaifenesin,Thrice daily,Productive cough
Dextromethorphan Syrup 100 Ml,DEXT-SYR,Syrup,8901000000014,1 bottle,1,"This product is primarily indicated for dry cough utilizing Dextromethorphan, but should not be used in patients with known hypersensitivity.",Dextromethorphan,,Dry cough
Aristrozyme,MPE251904,Syrup,,,1,"This product is primarily indicated for indigestion utilizing Diastase + Pepsin (recommended: after meals), but should not be used in patients with known hypersensitivity.",Diastase + Pepsin,After meals,Indigestion
Meftal Spas,ZNM2505,Syrup,,,1,"This product is primarily indicated for abdominal pain utilizing Mefenamic Acid + Dicyclomine, but should not be used in patients with known hypersensitivity.",Mefenamic Acid + Dicyclomine,,Abdominal pain
Sinarest,BR046,Syrup,,,1,"This product is primarily indicated for cold and cough utilizing Paracetamol + Phenylephrine + Chlorpheniramine, but should not be used in patients with known hypersensitivity.",Paracetamol + Phenylephrine + Chlorpheniramine,,Cold and cough
Glimepiride 1 Mg,GLI-1,Tab,8901000000010,1*10,10,"This product is primarily indicated for diabetes (rx) utilizing Glimepiride (recommended: before breakfast), but should not be used in patients with known hypersensitivity.",Glimepiride,Before breakfast,Diabetes (Rx)
Hydrogen Per Oxide Solution [H2O2] 100Ml,AE-2825,Solution,,,1,"This product is primarily indicated for antiseptic/wound cleaning utilizing Hydrogen Peroxide (recommended: topical use), but should not be used in patients with known hypersensitivity.",Hydrogen Peroxide,Topical use,Antiseptic/Wound cleaning
Hydrogen Per Oxide Solution [H2O2]500Ml,HP-8325,Solution,,,1,"This product is primarily indicated for antiseptic/wound cleaning utilizing Hydrogen Peroxide (recommended: topical use), but should not be used in patients with known hypersensitivity.",Hydrogen Peroxide,Topical use,Antiseptic/Wound cleaning
Ibuprofen 400 Mg,IBU-400,Tab,8901000000007,1*10,10,"This product is primarily indicated for pain, inflammation utilizing Ibuprofen (recommended: after food), but should not be used in patients with known hypersensitivity.",Ibuprofen,After food,"Pain, inflammation"
